seed 2163731680 pop_size 10000 nb_loci 500 nb_dim 1 mut_rate 1e-06 mut_rate_mod 1e-05 mig_rate 0.05 rec_rate 0.001 rec_rate_between_LB 0.01 rec_rate_for_CL 0.1 var_mut 0.05 fit_alt 0.1 epistasis 2 var_pref 0.1 var_cost 0 nb_dmi 50 dmi_e 0.1 dmi_neutral 0 skip_mating_choice 0 initial_pref 1 initial_cost 100 common_origin 0 life_cycle_is_mig_sel 0 opt_one 5 opt_two -5 min_pheno -9.7333 max_pheno 10.1378
200000	0.4933	0.94773	0.999485	0.0228577	100	0.947268	3.89586	0.951471	0.999188	0.0228668	100	0.950811	3.93599	0.5023	0.95127	0.998778	0.0227269	100	0.95013	-3.96459	0.952014	0.99899	0.0227182	100	0.951112	-3.9838	0.995	0.999
210000	0.4956	0.949983	0.999528	0.0228507	100	0.949549	3.86013	0.94578	0.999317	0.0228648	100	0.945223	3.79594	0.4912	0.953113	0.999273	0.0227458	100	0.952439	-3.90329	0.953121	0.999483	0.0227223	100	0.952691	-3.90944	0.997	0.996
220000	0.4982	0.947088	0.999685	0.0227217	100	0.946837	3.94972	0.948003	0.999749	0.0226958	100	0.947759	3.96092	0.491	0.946592	0.99964	0.0226982	100	0.946275	-3.8721	0.949485	0.999733	0.0227437	100	0.949227	-3.9238	0.997	0.998
230000	0.4931	0.948516	0.999578	0.0227003	100	0.948146	3.94273	0.947237	0.999667	0.0226981	100	0.946934	3.88153	0.4974	0.954196	0.999544	0.0226912	100	0.953803	-3.9967	0.954026	0.999632	0.0226797	100	0.95369	-3.96516	0.9951	0.999
240000	0.5018	0.943848	0.998643	0.0227836	100	0.94259	3.7721	0.94544	0.999095	0.0227189	100	0.944588	3.80368	0.504	0.950571	0.999456	0.0228942	100	0.950089	-3.89852	0.951177	0.99945	0.0228999	100	0.950671	-3.89277	0.997	0.996
250000	0.4996	0.952774	0.999862	0.0227003	100	0.952654	3.92908	0.947569	0.999668	0.0227003	100	0.947274	3.90127	0.4935	0.948512	0.999418	0.022698	100	0.94799	-3.9237	0.949468	0.999391	0.0227003	100	0.948907	-3.95205	1	1
260000	0.4942	0.950301	0.999644	0.0227575	100	0.949987	3.87632	0.95305	0.999602	0.0227283	100	0.952652	3.93639	0.5024	0.946884	0.99957	0.0227003	100	0.946503	-3.85866	0.949318	0.999572	0.0227003	100	0.94896	-3.91182	0.998	1
270000	0.5065	0.946107	0.999117	0.0232973	100	0.945378	3.8487	0.949417	0.998992	0.0232962	100	0.948619	3.91182	0.5074	0.948447	0.998908	0.0231982	100	0.947625	-3.84984	0.943363	0.999157	0.0232515	100	0.942717	-3.81631	0.993	0.996
280000	0.5	0.952396	0.999588	0.0227003	100	0.952027	3.85443	0.955639	0.99943	0.022725	100	0.955139	3.93899	0.4986	0.95182	0.999471	0.022719	100	0.951303	-3.89171	0.94643	0.999591	0.0226958	100	0.946057	-3.85478	0.9961	0.999
290000	0.5116	0.946008	0.999656	0.0238225	100	0.945714	3.87041	0.940988	0.999622	0.0238087	100	0.940679	3.84431	0.492	0.952619	0.999801	0.0227708	100	0.952451	-3.96486	0.95709	0.999728	0.0228672	100	0.956854	-3.98777	0.999	1
300000	0.4983	0.948578	0.999647	0.0226388	100	0.948266	3.87447	0.946953	0.999705	0.0226483	100	0.9467	3.91196	0.5023	0.944024	0.99961	0.0227156	100	0.94372	-3.86874	0.953137	0.999467	0.0227134	100	0.952734	-3.96011	0.998	0.997
310000	0.4994	0.955367	0.999373	0.0227262	100	0.954849	4.0156	0.950623	0.99944	0.0227416	100	0.950164	3.96304	0.5035	0.946103	0.999362	0.0229527	100	0.945545	-3.86487	0.94803	0.999723	0.0229254	100	0.947766	-3.87457	0.997	0.998
320000	0.4949	0.94714	0.999139	0.0226687	100	0.946334	3.87826	0.94093	0.999615	0.022672	100	0.940577	3.80831	0.5024	0.951629	0.999435	0.0224303	100	0.951165	-3.92523	0.948416	0.999194	0.0224304	100	0.947689	-3.86438	0.999	0.999
330000	0.5008	0.94945	0.999493	0.0227862	100	0.9491	4.01311	0.953824	0.99918	0.0227635	100	0.95319	3.92878	0.5082	0.955426	0.998969	0.0226601	100	0.954501	-3.92402	0.949975	0.999068	0.0227022	100	0.949162	-3.88974	0.994	0.995
340000	0.4951	0.950867	0.999388	0.0238878	100	0.950344	3.96683	0.94847	0.999421	0.023892	100	0.947953	3.94555	0.497	0.954565	0.999368	0.0229728	100	0.954021	-3.95501	0.952949	0.999157	0.0231291	100	0.952225	-3.97824	0.998	0.997
350000	0.4965	0.946966	0.999464	0.0233629	100	0.946482	3.91471	0.949922	0.999652	0.0232315	100	0.949608	3.88669	0.4998	0.956806	0.99958	0.0230161	100	0.956427	-3.92718	0.95389	0.999805	0.0229345	100	0.953722	-3.87788	0.999	1
360000	0.4996	0.949628	0.999001	0.022698	100	0.948715	3.88998	0.945212	0.99894	0.0227003	100	0.944267	3.88537	0.4895	0.950362	0.999207	0.0226864	100	0.949623	-3.8925	0.951561	0.999056	0.0226935	100	0.950655	-3.92305	0.996	0.996
370000	0.5079	0.946492	0.999461	0.0230598	100	0.946039	3.77735	0.94495	0.999643	0.0232358	100	0.944643	3.787	0.5001	0.952941	0.999476	0.022728	100	0.952454	-3.93664	0.954732	0.999646	0.0227976	100	0.954471	-3.9328	0.997	0.998
380000	0.5	0.954007	0.999532	0.0227003	100	0.953593	3.95035	0.95337	0.999384	0.0227003	100	0.952861	3.87511	0.5006	0.945672	0.999391	0.0226958	100	0.945157	-3.83811	0.944148	0.99951	0.0227338	100	0.943749	-3.78928	0.9941	0.992
390000	0.496	0.949959	0.999409	0.0227768	100	0.949393	3.93708	0.950606	0.999573	0.022823	100	0.950227	3.90642	0.5059	0.954094	0.999356	0.0232251	100	0.953487	-3.96549	0.951956	0.999297	0.0229667	100	0.951338	-3.9246	0.996	0.9961
400000	0.4971	0.95022	0.999686	0.0227003	100	0.949945	3.91618	0.954241	0.99967	0.0226935	100	0.953917	3.94907	0.505	0.952886	0.999539	0.0226981	100	0.95244	-3.92407	0.953835	0.99957	0.0227003	100	0.953432	-3.9588	0.997	0.9951
410000	0.4972	0.947934	0.999879	0.0226478	100	0.947813	3.85697	0.949788	0.999885	0.0225858	100	0.949691	3.87521	0.4978	0.953272	0.999703	0.022676	100	0.952987	-3.99947	0.955794	0.999493	0.0226935	100	0.955306	-4.01209	0.999	1
420000	0.49	0.947655	0.999657	0.0227272	100	0.94736	3.87571	0.950435	0.999533	0.0227326	100	0.950082	3.93052	0.4985	0.951891	0.99948	0.0228784	100	0.95147	-3.96146	0.947569	0.999278	0.0228418	100	0.94692	-3.89713	0.993	0.9912
430000	0.5009	0.954724	0.999437	0.022698	100	0.954215	4.00194	0.954454	0.999545	0.022698	100	0.954071	3.91594	0.4996	0.952744	0.999512	0.0226708	100	0.952303	-3.91835	0.950128	0.999574	0.0226529	100	0.949722	-3.91674	0.999	1
440000	0.5003	0.953974	0.999348	0.0227061	100	0.953444	3.93872	0.952172	0.999331	0.0226594	100	0.951649	3.96686	0.5004	0.955141	0.999612	0.0226822	100	0.954846	-3.99795	0.946372	0.999392	0.0226685	100	0.945895	-3.91433	0.995	0.998
450000	0.4927	0.948554	0.999716	0.0231115	100	0.948301	3.89224	0.95416	0.999687	0.0230285	100	0.953892	4.02728	0.502	0.952801	0.9994	0.0225589	100	0.952286	-3.91643	0.953885	0.999498	0.0225742	100	0.953428	-3.89756	0.998	0.997
460000	0.4954	0.954265	0.999604	0.0227138	100	0.953988	3.9356	0.951391	0.99954	0.0227317	100	0.950997	3.89863	0.4966	0.944854	0.999291	0.0227637	100	0.944239	-3.82978	0.947615	0.999531	0.0227003	100	0.947274	-3.8297	0.9941	0.999
470000	0.5064	0.948935	0.998649	0.0264415	100	0.947773	3.80758	0.947705	0.998847	0.0261001	100	0.946709	3.8576	0.4902	0.95623	0.99888	0.0249065	100	0.955313	-4.02106	0.954491	0.999015	0.0248368	100	0.953718	-4.02791	0.9911	0.9922
480000	0.5019	0.950178	0.999526	0.0227321	100	0.949766	3.97399	0.95093	0.999208	0.0227047	100	0.950285	3.94467	0.4989	0.955306	0.999429	0.0227003	100	0.95479	-3.93037	0.951855	0.999662	0.0226868	100	0.951571	-4.00951	0.993	0.994
490000	0.4956	0.947538	0.999183	0.0237159	100	0.94681	3.82459	0.953082	0.999525	0.0237395	100	0.952686	3.94198	0.4951	0.948726	0.999586	0.023686	100	0.948332	-3.88045	0.952524	0.99961	0.0236846	100	0.952187	-3.9451	0.999	0.995
500000	0.5021	0.951322	0.999649	0.0227666	100	0.951028	3.85457	0.951464	0.999884	0.0227668	100	0.951366	3.92519	0.5005	0.952658	0.999702	0.0226021	100	0.95241	-3.90515	0.949609	0.999759	0.0226081	100	0.949433	-3.86669	0.997	0.9971
